,heading,content,extract_tag,len_cut_heading,len_cut_content,labels
1165,Joanna陳: $中國交通建設(01800)$ 中交建(01800.HK)是中國領先的 ,2017年 - 中國交通建設(01800)$ 中交建(01800.HK)是中國領先的交通基建  互聯網違法和不良信息舉報：01061840600-8030 / secretary@xueqiu.com.,中國 01800 Joanna 建設 中交建 HK 領先 交通 中國 01800 2017 建設 中交建 HK 領先 互聯網 違法 舉報 01061840600 8030 secretary xueqiu com 交通 不良信息 基建,8.0,18.0,0
1166,《A股焦點》鐵路部開展三年貨運增量行動，中車A中交建A升1% - 香港 ,《A股焦點》鐵路部開展三年貨運增量行動，中車A中交建A升1%. 即時中國 14:00 2018/07/03 . 騙15億資助山東名企重演「漢芯」式造假 · 海航風雨飄搖時董事長法國,A股 焦點 鐵路部 開展 貨運 行動 中車 中交建 1% 增量 三年 香港 A股 焦點 鐵路部 開展 貨運 行動 中車 中交建 1% 即時 中國 14 00 2018 07 03 15 億資助 山東 漢芯 風雨 飄搖時 法國 名企 海航 造假 重演 增量 董事 三年,12.0,30.0,0
1167,12億加元收購案遭否決中交建併Aecon涉國安加國打槍- 中時電子報,2018年 - 國安問題已愈來愈成為中國企業走齣海外併購的一大障礙。近期，加拿大政府否決瞭中國交通建設公司（簡稱中交建）12億加元收購加拿大建築,12 收購案 遭否 決中 交建 Aecon 涉國安加國 打槍 中時 電子 加元 2018 國安 問題 愈來 愈成 中國 企業 障礙 否決 瞭中國 建設 簡稱 中交建 12 收購 建築 加拿大政府 加元 加拿大 一大 交通 海外 近期 公司,11.0,24.0,13
1169,劉起濤：“共商共建共享”是中交建的商業規則- 其它文章- 商界網| 商界新 ,2018年 - 據此，劉起濤分享幾點體會，其一中交建參與的所有項目一定是“共商共建  劉起濤認為，這種質疑是源自於大傢的誤解或者說我們之間的閤作太少。,商界 劉起濤 中交建 商業 規則 共商 共建 共享 其它 文章 劉起濤 2018 據此 幾點 體會 交建參 項目 認為 這種 質疑 誤解 我們 之間 作太少 共商 一中 共建 源自 分享 或者 所有 一定,10.0,22.0,0
1170,為什麼我國有中交建工農五大行，但一般人們總說是四大行？ - 知乎,2017年 - 為什麼我國有中交建工農五大行，但一般人們總說是四大行？ 關注者. 2. 被瀏覽  金融哈士奇. 因為不是所有人都知道現在交行也是銀監局一科管的.,什麼 我國 中交 人們 知乎 建工 四大行 五大 一般 2017 什麼 我國 中交 人們 關注者 瀏覽 因為 現在 監局 一科管 哈士奇 建工 交行 四大行 所有人 五大 金融 一般 知道 不是,9.0,21.0,0
1172,路橋建設- 維基百科，自由的百科全書,路橋集團國際建設股份有限公司，簡稱路橋建設，中國交通建設集團的子公司，主要從事中國大陸  2009年1月，路橋集團遭世界銀行指控在菲律賓一公路項目中參與串標行為，被禁止在8年內投標世銀資助的任何項目。  跳轉^ 中交建遭世銀禁止8年內競投項目; 跳轉^ 中交建否認子公司參與世銀項目串標; 跳轉^ 中國交通建設否認世行,百科 路橋 建設 維基 全書 自由 建設 路橋 集團 項目 跳轉 中國 中交建 否認 子公司 禁止 國際 簡稱 從事 中國大陸 2009 銀行 菲律賓 標行 投標 世銀資助 遭世銀 競投 參與 世銀項 目串標 交通 世行 指控 公路 有限公司 任何 股份 世界 主要,6.0,34.0,0
1173,中交建拓展多米尼加市場取得突破_新華絲路,2018年 - 記者從中國交建南部美洲區域公司獲知，該公司旗下康剋瑪特設計谘詢公司近日中標多米尼加共和國濛特格蘭德大壩施工監理項目，標誌著,中交建 市場 新華絲路 多米尼加 拓展 突破 取得 2018 記者 中國 交建 區域 獲知 瑪特 設計 中標 國濛 特格蘭德大壩 監理 項目 標誌 公司 多米尼加 共和 美洲 施工 旗下 南部 近日,7.0,22.0,11
1174,公司領導前往廣州公司調研 - 中交建融租賃有限公司,"2017年 - 中國交建,融資租賃,中交建融租賃有限公司,中交租賃,中交建融租賃.  同明知故犯的違紀違法行為區分開來；把上級尚無明確限製的探索性試驗中的",領導 廣州 調研 中交建融 租賃 公司 前往 有限公司 租賃 中交建融 2017 中國 交建 融資 違紀 違法行 區分 開來 上級 尚無明確 試驗 明知故犯 探索性 交租 有限公司,8.0,17.0,0
1175,林鄭月娥：冀本港未來增國際調解仲裁人纔及建線上調解平颱- 華富財經 ,recent - 她指，香港有良好的法律及仲裁製度，政府積極增加國際調解仲裁的人纔以及利用科技建立線上  華富首評：中交建（1800）及海外業務風險 11:45.,鄭月 未來 增國際 調解 建線 調解平 華富 財經 本港 仲裁 仲裁 recent 積極 國際 調解 線上 華富 首評 中交建 1800 業務風險 11 45 海外 科技 香港 良好 法律 利用 建立 增加 政府 以及,10.0,23.0,0
1176,中交建60.13億收購綠城24.288%股份-杭州新房網-房天下,"2015年 - 中交建60.13億收購綠城24.288%股份. 來源：房 . Co.,Ltd 版權所有. 違法和不良信息舉報電話：010-56318764 舉報郵箱：jubao@fang.com.",中交建 60.13 億收 購綠城 24.288% 新房 杭州 天下 股份 舉報 2015 中交建 60.13 億收 購綠城 24.288% 來源 Co Ltd 版權 違法 電話 010 56318764 郵箱 jubao fang com 不良信息 股份 所有,9.0,22.0,0
1178,穆迪授予中交建的永久債券(P)A3評級 - Moody's,"2015年 - 份有限公司(中交建, A3/穩定) 提供擔保的高級有擔保永久債券授予暫行 . 疏忽(為避免疑問，不包括法律規定不得排除的欺詐、故意不當作為或任何",中交建 債券 A3 評級 Moody 穆迪 永久 授予 擔保 2015 中交建 A3 穩定 高級 債券 暫行 疑問 規定 欺詐 不當作 疏忽 永久 授予 故意 排除 避免 法律 不得 有限公司 任何 提供 包括,8.0,24.0,0
1179,港口城： 斯裏蘭卡“下一站香港”的夢想與現實| 中外對話,2017年 - 中方提齣停工索賠後，斯方錶示用土地來賠償，由原來的填海233公頃增加  中交建此前迴應稱，在與斯裏蘭卡前任政府簽署該港口城項目之前，,蘭卡 現實 對話 一站 中外 港口 香港 2017 索賠 斯方 示用 賠償 原來 233 公頃 中交建 應稱 蘭卡 簽署 城項 填海 前任 停工 中方 港口 此前 土地 之前 增加 政府,7.0,23.0,38
1182,綠城“改嫁”中交建--財經--人民網,2014年 - 宋衛平齣讓綠城中國24.288%股份給中交建集團；中交建集團與九龍倉成  到口水戰，從搶公章到全武行，糾紛層層升級，最終演變成一場商業鬧劇。,-- 綠城 中交建 財經 改嫁 人民 集團 2014 宋衛平 24.288% 給中 交建 中交建 九龍 倉成 糾紛 層層 升級 最終 演變成 一場 商業 鬧劇 武行 公章 口水 城中 股份,6.0,22.0,0
1183,【一帶一路·閤作共贏】中國交建的“一帶一路”故事：架連心橋建幸福城_ ,2017年 - 目前中交建與“一帶一路”沿綫國傢和地區簽署閤同、協議超過400億美元，投資和承建瞭中巴經濟走廊係列工程、科倫坡港口城、濛內鐵路等重大項目,一帶 一路 作共贏 中國 交建 架連心 橋建 幸福 故事 2017 中交建 一帶 協議 超過 400 投資 經濟 科倫坡 內鐵路 項目 中巴 承建 走廊 港口 一路 工程 重大 美元 目前,9.0,20.0,0
1185,齣海記｜中交建去年“一帶一路”項目投資超160億美元 - 參考消息,2018年 - 報道稱，去年，中交建海外業務訂單為300多億美元，當中在“一帶一路”  日在社交媒體上對中美貿易發齣最新評論，以汽車作為例子質疑兩國貿易對,海記 中交建 一帶 項目 投資超 160 參考 一路 去年 美元 消息 2018 報道 中交建 業務訂 單為 300 當中 一帶 媒體 美貿易發 評論 以汽車 作為 質疑 兩國 貿易 社交 例子 一路 最新 海外 去年 美元,11.0,23.0,0
1186,中交(1800.HK) 估值仍吸引- 嘉傳戶曉: 麥嘉嘉- am730,2015年 - 另一方麵，要看負債水平，中交為79%，中交建的業務多元化，主要在內地及海外從事基建建設，是「一帶一路」國策及減息主要受惠者，預測P/E,中交 1800 HK 嘉傳戶曉 麥嘉嘉 am730 吸引 估值 受惠者 2015 負債 中交為 79% 中交建 業務 地及 從事 建設 一帶 國策 減息 預測 另一方 基建 多元化 主要 一路 海外 水平,8.0,21.0,0
1187,“天鯤號”成為中交建融租賃産融結閤新嘗試- 船舶金融- 國際船舶網,2017年 - 天鯤號”成功下水，將進一步提升天航局裝備水平和國際競爭力，進一步促進振華重工裝備製造産業轉型升級，進一步提升中交建融租賃服務重大裝備,船舶 天鯤號 成為 中交建融 租賃 融結 新嘗試 國際 金融 裝備 一步 2017 天鯤號 將進 天航局 國際 競爭力 促進振華 中交建融 租賃 服務 提升 下水 重工 重大 成功 水平,9.0,18.0,0
1188,福建省福瑞工程招標有限公司關於中交建宏峰集團有限公司鬥門停車場 ,福建省福瑞工程招標有限公司關於中交建宏峰集團有限公司鬥門停車場調蓄池泵采購項目公開招標公告. 2018年19:42 來源：中國政府采購網 【打印】 【顯示,福瑞 招標 關於中 交建宏峰 集團 鬥門 停車場 有限公司 福建省 工程 招標 福瑞 關於中 交建宏峰 集團 鬥門 停車場 調蓄 池泵 采購 項目 公開 2018 19 42 來源 中國 采購網 顯示 有限公司 打印 福建省 工程 公告 政府,10.0,25.0,0
1189,中交建一件可恥的串標使中國濛羞- 投資創業- 驛路楓情-加拿大移民論壇,2009年 - 幾分鍾前鳳凰颱報道，世界銀行發現中交建暗地串標，懲罰中交建8年內  稱“關於世行此次製裁一事，中建在申辯材料中針對世行的相關指控予以瞭,中交建 可恥 串標 中國 投資 創業 驛路 楓情 論壇 移民 加拿大 一件 中交建 世行 2009 幾分 前鳳凰 報道 銀行 發現 串標 懲罰 關於 申辯 中針 相關 暗地 指控 中建 一事 予以 材料 此次 世界,12.0,22.0,0
1190,VOA連綫(郭篤為)：中國企業在巴拿馬工程投標中被爆作弊醜聞- 7月07 ,recent -  的情況下決定放棄。最終由一傢中國國企中交建中標。這樣的結果引起輿論嘩然，巴拿馬質疑中方在招標過程中作弊。資深媒體人郭篤介紹瞭詳情。,VOA 郭篤為 中國 企業 巴拿馬 投標 醜聞 07 作弊 工程 recent 情況 決定 放棄 最終 中國國 企中交 這樣 結果 輿論 嘩然 巴拿馬 質疑 招標 過程 資深 媒體 郭篤介紹 詳情 作弊 建中 中方 引起,10.0,23.0,0
1191,兩會前再棒喝孫政纔爆情婦涉金數百億並贈孫龍袍 - 博訊,2018年 - 中紀委在《關於孫政纔嚴重違紀案的審查報告》中，指控孫「嚴重違反廉潔  重慶市最大的PPP工程，在劉鳳洲的插手下，原本央企中交建的中標被廢。,兩會 棒喝 孫政 爆情 婦涉 金數 百億並 孫龍袍 博訊 嚴重 2018 中紀委在 關於孫政 違紀案 審查 報告 違反 廉潔 重慶市 PPP 劉鳳洲 央企中 交建 中標 插手 指控 原本 工程 最大,9.0,20.0,0
1192,中鐵、中鐵建、中交、中建到底有多少個分局？難倒99%砼行？！-中國 ,2015年 - 中交建在這一輪博弈中勝齣。2010年8月，國資委宣布，將以無償行政劃撥的方式把中房集團整體並入中交建集團。 蘇通長江大橋、杭州灣跨海大橋、上海洋山  違反者本網將依法追究責任。 ② 本網轉載並注明其他來源的稿件，是本著,中鐵 中鐵建 中交 難倒 99% 砼行 中國 分局 中建 到底 多少 中交建 集團 2015 這一輪 中勝 2010 國資委 將以 無償 劃撥 整體 並入 蘇通長 江大橋 大橋 違反者 網將 責任 本網 轉載並 來源 本著 中房 跨海 依法追究 稿件 注明 博弈 海洋 杭州 行政 宣布 方式 其他,11.0,34.0,18
1193,大馬叫停中資參建三項目- 雅虎香港新聞,recent - 中交建指業績影響小. 中交建昨晚發公告，指項目暫時停工，對公司2018年業績不構成重大影響，公司會根據  納吉布否認控罪獲保釋明年再審.,大馬 中資 參建 項目 新聞 雅虎 叫停 香港 中交建 影響 recent 指業績 指項 目暫 2018 年業績 不構 根據 納吉布 否認 控罪 獲保釋 再審 停工 昨晚 公司 公告 重大 明年,8.0,21.0,0
1194,黑名單效應與啓示_建築行業分析_魯班谘詢-建企戰略顧問專傢建築業 , 上披露，包含中國建築、中交建等在內的14傢中國企業被世界銀行列入黑名單。  的欺詐和腐敗舉報；2006年，世行對製裁製度進行瞭一係列的改革，並發布瞭《反,黑名 單效 建築 行業 魯班 建企戰略顧 問專 建築業 分析 中國 建築 中交建 14 企業 銀行 黑名 欺詐 腐敗 舉報 2006 並發布 世行 列入 包含 披露 改革 世界,9.0,18.0,0
1195,聚焦中交建IPO：融資200億，加速股市失血--中金在綫--專題,中國證監會日前公告稱，發審委定於召開2011年第216次工作會議，審核中國交通  根據說明書，中交建擬發行35億股A股，其中募資200億元用於10項目。,-- 中交建 IPO 融資 200 專題 失血 聚焦 中金 加速 股市 中國證 監會 發審委定 召開 2011 216 會議 審核 中國 根據 明書 中交建擬 發行 35 億股 A股 募資 200 億元用 10 項目 日前 交通 公告 工作 其中,11.0,26.0,0
1196,中交建聯閤體獲威尼斯港設計閤同“一帶一路”激活威尼斯港-國際在綫,2017年 - 中交建聯閤體獲威尼斯港設計閤同“一帶一路”激活威尼斯港  領銜中意聯閤公司簽署本次協議的中交建集團，其海外市場開發部副總經理宋德斌介紹說：“據我們 . 中國互聯網舉報中心違法和不良信息舉報電話：010-68891032 舉報,威尼斯 中交建聯 體獲 設計 一帶 國際 激活 一路 舉報 威尼斯 2017 中交建聯 體獲 設計 一帶 領銜 簽署 協議 中交建 集團 市場 開發 總經理 宋德斌 介紹 我們 中國 互聯網 違法 電話 010 68891032 不良信息 中意 部副 激活 一路 海外 本次 中心 公司,8.0,33.0,0
1197,中交疏浚（集團）股份有限公司2016 年公司債券受托管理事務報告（2016 ,2017年 - 中國證監會於2016 年簽發瞭“證監許可[2016]162 號”文，核準中 . 期內存放在中國交建結算中心的款項及所屬二級公司對中交建融委托貸.,2016 中交 集團 債券 事務 報告 受托 疏浚 有限公司 股份 管理 公司 2016 2017 中國證 監會 簽發 證監許 162 核準 期內 中國 交建 結算 項及 所屬 二級 交建融 存放 委托 中心 公司,12.0,20.0,0
1198,(大)中鐵建女高層庭內拍照豪言 - 成報SING PAO DAILY NEWS,2018年 - 搬中國法律論官：無興趣知陳官認為，唐不會就指控再作迴應，因她報稱是  曾經在央企中金（3908）及中交建（1800）工作，負責收購和閤拼工作。,中鐵建女 高層庭 成報 SING PAO DAILY NEWS 豪言 拍照 2018 中國 論官 無興趣 知陳官 認為 唐不會 再作 報稱 經在央 企中金 3908 中交建 1800 負責 收購 指控 工作 法律,9.0,19.0,0
1199,中交資産管理有限公司,2018年 - 中交建融租賃有限公司黨委書記、董事長張劍興，黨委委員、副總經理  六是要創新工作思路，敢於挑戰和質疑，大力發展衍生業務，發展沿綫旅遊、,中交資 有限公司 管理 發展 2018 中交建融 租賃 黨委書記 張劍興 黨委委員 總經理 六是 創新 挑戰 質疑 業務 工作思路 衍生 大力 董事 有限公司,3.0,18.0,0
1200,中投發展退齣房地産業務曾被審計署點名違規_財經_環球網,2016年 - 中投發展退齣房地産業務曾被審計署點名違規.  人物，業內評價羅釗明在資本圈長袖善舞，當年綠城和央企中交建的“聯姻”也是羅釗明穿針引綫。,發展 業務 審計署 點名 違規 財經 環球網 房地 中投 2016 發展 業務 審計署 點名 違規 業內 評價羅釗 資本 圈長 袖善舞 當年 綠城和央 企中 交建 聯姻 是羅釗明 穿針 房地 中投 人物,9.0,21.0,0
1201,手握29%的綠城股權中交真實目的在於…… - 經濟觀察網－ 專業財經 ,2015年 -  九龍倉早前知悉中交建有意進一步增持綠城股權，並認同此舉對綠城有利。  如與融創談判、解決融綠糾紛、中交的閤作以及綠城新戰略的製定等。,29% 綠城 股權 中交真實 經濟 觀察網 專業 財經 手握 目的 綠城 中交 2015 九龍倉 意進 增持 股權 並認 同此舉 如與融 創談判 解決 融綠 糾紛 新戰略 知悉 早前 建有 有利 一步 以及,10.0,21.0,0
1202,中交建、中國建築等12傢中國企業上世行黑名單 - 中國商報,2015年 - 兩桶油”成為境外國資監管問題重災區，此前中航油在境外違規從事衍生品交易巨虧造成數億美元國資損失、中鐵建在沙特項目因風險管理和內控,中國 中交建 建築 12 企業 黑名 商報 世行 國資 境外 中航油 2015 兩桶 成為 監管 問題 重災區 違規 巨虧 數億 損失 中鐵建 項目 因風險 內控 沙特 衍生品 此前 美元 造成 交易 管理,8.0,24.0,0
1203,害怕激怒北京遭天價賠償馬來西亞新政府改口_經濟-多維新聞網,2018年 - 害怕激怒北京遭天價賠償馬來西亞新政府改口  提齣證據顯示前大馬政府串謀中國交通建設股份有限公司（中交建），抬高半島東海岸鐵路造價一倍。,遭天價 賠償 西亞 經濟 多維新聞網 改口 激怒 新政府 害怕 北京 2018 遭天價 賠償 西亞 證據 顯示 前大馬 串謀 中國 建設 中交建 半島東 鐵路 造價 改口 激怒 抬高 新政府 一倍 海岸 害怕 交通 有限公司 股份 北京 政府,10.0,26.0,5
1204,盧沙野大使接受加通社記者專訪 - 駐加拿大使館,2018年 - 我們對加政府以國傢安全為由否決中交建收購愛康公司錶示遺憾。  我早就跟媒體講過，中國國有企業沒有罪，它們為中國人民的福祉做齣瞭很大,盧沙野 加通 社記者 專訪 使館 大使 加拿大 接受 2018 我們 對加 以國 否決 中交建 收購 愛康 遺憾 媒體 講過 中國國 企業 它們 中國 福祉 有罪 早就 安全 人民 很大 政府 公司,8.0,23.0,13
1205,駐加拿大大使盧沙野發錶署名文章：《中國不是加拿大的威脅》,2018年 - 我對加拿大政府以國傢安全為由否決中交建對愛康公司的收購感到遺憾。  打壓發展中國傢的發展進步，這不僅違反國際道義，也是不可能得逞的。,加拿大 盧沙野發 中國 威脅 署名文章 大使 不是 發展 2018 以國 否決 中交建 愛康 收購 遺憾 打壓 中國 進步 這不僅 違反國際 加拿大政府 得逞 安全 感到 可能 公司,7.0,19.0,13
1208,高院再爆偷拍中鐵建女高層涉庭內影相「我喜歡拍便拍」 官稱已報警或控藐 ,2018年 - 陳官錶示事件已經報警，提醒唐或被控藐視法庭，「你在律師樓工作，  大學畢業，主修會計及金融，其後加入中金任投資經理，及後任職中交建，再轉,中鐵建女 高層 涉庭內 影相 喜歡 官稱 報警 偷拍 高院 2018 已經 報警 藐視 師樓 大學 畢業 會計及 中金任 投資 經理 及後任 職中 交建 再轉 被控 主修 法庭 提醒 加入 事件 金融 工作,9.0,23.0,14
1209,晚報：香港電颱人士披露，中聯辦曾指示港媒勿邀「反中亂港」時評員論政 ,2018年 - 中交建發錶聲明，對馬來西亞當局及MRL 的決定錶示遺憾，強調公司遵守  《美國之音》緻電上海市公安局宣傳處查詢，接聽電話的工作人員錶示不,晚報 中聯辦 港媒 反中亂 評員論政 指示 披露 香港 人士 2018 中交建發 聲明 對馬來 西亞 當局 MRL 決定 遺憾 強調 美國 宣傳處 查詢 接聽 電話 人員 上海市公安局 之音 遵守 工作 公司,9.0,21.0,0
1210,Asociación de Empresas Chinas en Perú » 中企協第三屆會員大會,同時聘請瞭10名專業裁判員和來自協會各個會員單位的30名誌願者為大會服務。  桌、工行3桌、五礦2桌、白河2桌、中鋁1桌、中水電對外1桌、中交建1桌、首信1桌。,Asociaci de Empresas Chinas en Per 屆會員大會 中企 第三 同時聘 10 專業 自協會 各個 會員 單位 30 名誌 願者 大會 服務 五礦 中鋁 中水電 中交建 首信 白河 裁判 工行,9.0,20.0,0
1211,中交建子公司墨市中標將承建地鐵前期工程| 今日悉尼,【今日澳洲訊】中交建名下子公司John Holland在墨爾本地鐵（ Melbourne Metro Rail.  今年4月，股權交割徹底完成，John Holland正式成為中交建旗下子公司。 （圖片來源：《澳洲金融評論  證詞細節公開，兩被告均涉口交和性交（視頻/組圖）.,中交建 墨市 標將 地鐵 承建 悉尼 子公司 前期 工程 今日 中交建 John Holland 澳洲 子公司 口交 墨爾 Melbourne Metro Rail 股權 徹底 成為 圖片 來源 評論 證詞 細節 公開 均涉 視頻 組圖 性交 名下 被告 交割 本地 旗下 正式 金融 今日 完成 今年,10.0,33.0,0
1212,深圳天源迪科信息技術股份有限公司投資者關係活動記錄錶,2018年 - 石油、中交建、國傢電網、中國航天、軍工等），不僅僅基於阿裏雲雲化，人工  奠定瞭在公安行業的基礎。2014 年12 月份係統上綫。2015 年把深圳,天源迪科 技術 投資者關 活動 記錄 深圳 信息 有限公司 股份 2018 中交建 電網 中國 軍工 不僅 僅基 雲雲化 瞭在 行業 基礎 2014 12 2015 公安 航天 人工 奠定 深圳 石油 月份,9.0,21.0,0
1213,東鐵成本或膨脹至逾1000億《當今大馬》 - Malaysiakini,2017年 -  交通建設股份有限公司（簡稱中交建，CCCC），即東鐵計劃的股東之一。 . 和政治恩庇的誘惑，驅使腐敗的政治領導為瞭短期利益，典當國傢前途。,東鐵 或膨脹 1000 當今 大馬 Malaysiakini 成本 2017 建設 簡稱 中交建 CCCC 即東 鐵計劃 股東 恩庇 誘惑 驅使 腐敗 領導 典當國 政治 前途 交通 利益 短期 有限公司 股份 之一,7.0,22.0,0
1215,匯融-鄒穎 - 北京市匯融律師事務所Filong Law Firm｜官網,融資租賃等商事訴訟。  瓦剋（中國）租賃有限公司、拉赫蘭頓融資租賃（中國）有限公司、聚信國際租賃股份有限公司、中交建融租賃公司、無锡金控融資租賃有限公司、,匯融 鄒穎 匯融律 師事務 Filong Law Firm 官網 北京市 租賃 融資 中國 有限公司 訴訟 蘭頓 聚信 國際 中交建融 控融 資租賃 商事 拉赫 锡金 股份 公司,9.0,16.0,0
1216,重磅！加拿大建築巨擘Aecon被中交建收購- 人在溫哥華網VanPeople.com,2017年 - 中國交通建設股份有限公司簡稱中交、中交建或中交建設，2005年成立，集團主要從事交通基建建設、基建設計、疏浚及港口機械製造業務，是目前,建築 Aecon 中交建 收購 溫哥華網 VanPeople com 巨擘 重磅 加拿大 建設 基建 2017 中國 簡稱 中交 中交建 交建設 2005 集團 從事 設計 交通 疏浚 港口 有限公司 成立 股份 目前 主要,10.0,20.0,13
1217,香港人性格: 高院再爆偷拍中鐵建女高層涉庭內影相「我喜歡拍便拍」 官稱 ,2018年 - 中國鐵建高層唐琳昨涉在庭內拍照，或被控藐視法庭。  大學畢業，主修會計及金融，其後加入中金任投資經理，及後任職中交建，再轉至目前中鐵建,中鐵建女 高層 涉庭內 影相 喜歡 官稱 偷拍 高院 性格 香港 2018 中國 鐵建 高層 唐琳 昨涉 庭內 藐視 大學 畢業 會計及 中金任 投資 經理 及後任 職中 交建 轉至 中鐵建 被控 主修 拍照 法庭 加入 金融 目前,10.0,26.0,14
1218,楊劍平請辭背後的中交綠城亂局 - 微博,2018年 -  倉早前知悉中交建有意進一步增持綠城股權，並認同此舉對綠城有利。”  侵吞藍城. 在“大兒子”綠城那頭已經失去實權的宋衛平，本以為在“女兒”藍,楊劍平 中交綠 城亂局 微博 綠城 本以 2018 中交 意進 增持 股權 並認 同此舉 藍城 大兒子 那頭 已經 實權 宋衛平 女兒 知悉 侵吞 早前 建有 有利 失去 一步,4.0,23.0,0
1219,中鐵、中鐵建、中建、中交、中水？的前世今生，這-新聞頻道-手機搜狐,中交建在這一輪博弈中勝齣。2010年8月，國資委宣布，將以無償行政劃撥的方式把中房集團整體並入中交建集團。 蘇通長江大橋、杭州灣跨海大橋、上海洋山深水港等,中鐵 中鐵建 中交 新聞 頻道 手機 今生 前世 搜狐 中建 中交建 集團 這一輪 中勝 2010 國資委 將以 無償 劃撥 整體 並入 蘇通長 江大橋 大橋 中房 跨海 深水港 博弈 海洋 杭州 行政 宣布 方式,10.0,23.0,18
1220,中交建入圍丹麥基建項目基於國安考慮華企可能落空 - 希望之聲粵語版,2018年 - 中交建入圍丹麥基建項目基於國安考慮華企可能落空 . 山東大學退休教授孫文廣，因組織民眾紀念六四，被公安帶走法外羈押43.,中交建入 圍丹麥 項目 國安 考慮 華企 之聲 粵語 落空 基建 希望 可能 六四 2018 中交建入 圍丹麥 項目 國安 考慮 華企 山東大學 孫文廣 因組織民眾 紀念 外羈 43 走法 落空 公安 基建 退休 教授 可能,12.0,21.0,16
1221,全球快報- Home | Facebook,5 hrs ·. 《外媒爆料》1MDB醜聞案5名關鍵人物，相信很快就會被逮捕  東鐵或3個月內復工~~ 停工一天損失數百萬，中交建吃不消，或會點頭答應林財神唯一的條件…,快報 Home Facebook 全球 hrs 外媒 1MDB 醜聞案 名關鍵 東鐵 損失 數百萬 中交建 或會點 頭答 應林 財神 條件 吃不消 爆料 停工 逮捕 唯一 人物 很快 相信 一天,4.0,23.0,0
1223,新昌 - 英皇證券集團,2016年 - 括香港海洋公園萬豪酒店建造、香港警方東九龍總區總部. 及牛頭角分區警  另外，新昌在16年5月和7月時，分別與中交建及中鐵建訂. 立戰略閤作，,證券 集團 英皇 新昌 2016 公園 萬豪 東九龍 總區 總部 牛頭角 分區警 16 分別 交建及 中鐵建訂 立戰略 香港 新昌 警方 酒店 建造 海洋 另外,4.0,20.0,0
1225,杭州科利特信息技術有限公司,四川省綿陽市公安局車輛及警員定位係統四川省宜賓市公安局車輛及警員定位係統  地區公安局警員及警車定位係統中建鄭州管廊工地人員定位係統中交建河南官渡,技術 科利 杭州 信息 有限公司 定位 車輛 警員 公安局 四川省 綿陽市 宜賓市 地區 警員及 警車 鄭州 管廊 人員 統中 交建 官渡 工地 中建 河南,5.0,19.0,0
1226,陳思敏：從中共央企遭巴拿馬廢標說起| 新唐人電視颱(手機版) 新聞資訊 ,recent -  高的歐洲企業在開標時當場宣布退齣，中國企業被強烈質疑涉嫌作弊，導緻  基於上述證據，中交建和中港灣承建的哈爾濱陽明灘大橋被指豆腐渣,思敏 央企遭 巴拿馬 廢標 電視 手機版 新聞 資訊 唐人 中共 企業 recent 歐洲 開標 當場 中國 強烈 質疑 證據 中交建 哈爾濱陽 明灘 大橋 中港 豆腐渣 承建 作弊 涉嫌 宣布 上述,10.0,20.0,17
1227,中鐵、中鐵建、中建、中交、中水的曆史淵源和各局分布- 企業動態- 智能 ,2017年 - 中交建在這一輪博弈中勝齣。2010年8月，國資委宣布，將以無償行政劃撥的方式把中房集團整體並入中交建集團。 蘇通長江大橋、杭州灣 . 發展論壇成功召開。佛山交通局、南海交通局、禪城交通局、佛山公安局交通警察支隊、南 ﻿,中鐵 中鐵建 中交 史淵源 企業 動態 各局 中水 中建 智能 分布 交通局 中交建 集團 佛山 2017 這一輪 中勝 2010 國資委 將以 無償 劃撥 整體 並入 蘇通長 江大橋 發展 論壇 召開 禪城 支隊 中房 交通警察 公安局 博弈 南海 杭州 行政 宣布 成功 方式,11.0,31.0,18
1228,上海齣入境邊防檢查總站, 公安部新聞發布會通報經國務院批準在海(04/20); •上海邊檢提示——受大霧 . 崇明邊檢站受邀觀摩中交建2018年水(06/15); •弘揚憲法精神履行憲法使命——洋山,邊防 檢查 總站 入境 上海 憲法 新聞 發布會 通報 經國務院 批準 04 20 邊檢 受大霧 邊檢站 觀摩中 交建 2018 年水 06 15 弘揚 洋山 受邀 崇明 公安部 使命 履行 提示 精神 上海,5.0,27.0,0
1229,今日報章摘要| 政事| 巴士的報 - Bastille Post, 中金任投資經理，及後任職中交建收購及閤併經理，再轉至目前中鐵建職位，3傢  但翻查資料，近年未見有人因在庭內拍攝而被控藐視法庭，控方隻選擇以《簡易,報章 Bastille Post 巴士 摘要 政事 今日 經理 控方 中金任 投資 及後任 職中 交建 收購 轉至 中鐵建 職位 資料 未見 因在庭 藐視 選擇 簡易 翻查 被控 法庭 近年 有人 目前,7.0,23.0,14
1230,Crown – 澳財網,在因“宣稱賭博”被捕的員工刑滿釋放數月之後，皇冠Crown的投資人將於本周委托  集團ASF、中國建築工程總公司以及中交建旗下中交廣州航道局共同組閤而成。,Crown 澳財網 宣稱 賭博 工刑 滿釋 放數 Crown 投資人將 集團 ASF 中國 建築 中交建 中交廣州 航道局 皇冠 被捕 委托 旗下 本周 工程 共同 以及 公司,2.0,23.0,0
